,name,province,postalCode,categories,primaryCategories,Compound Sentiment,reviews.summary,reviews.total,popular.keywords,average.rating
10,Acadia Suites,ME,4609,"Lodging,  Motel,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.88275,"Acadia Suites had been our wonderful home away from home several times in the past, and it didn't disappoint this time. Location - great, a short walk to the Bar Harbor shops, restaurants and village green bus stops (The Island...",2,"[('suites', 3.0), ('acadia', 2.0), ('bar', 2.0), ('harbor', 2.0), ('location', 2.0)]",5.0
11,Ace Hotel Chicago,IL,60611,Hotel,Accommodation & Food Services,0.22116666666666665, Good: The staff was really friendly and the free coffee was good. Bad: Valet is 30 and they do not tell you that.,3,"[('bad', 2.0), ('friendly', 2.0), ('hotel', 2.0), ('location', 2.0), ('staff', 2.0)]",4.6
12,Ace Hotel New Orleans,LA,70130-3511,"Hotel Central Business District,  Hotel & Motel,  Hotel",Accommodation & Food Services,0.8844,"Why only 3 stars This hotel was obviously a factory or warehouse at one stage, so the concrete support column in the bedroom is a necessity. Didn't take me long to realize that the Ace has focused on aesthetics rather than service.",3,"[('dining', 2.0), ('enjoyed', 2.0), ('hotel', 2.0), ('minutes', 2.0), ('service', 2.0)]",3.33
13,Ace Hotel-new Orleans,LA,70130,"Hotel Central Business District,  Hotel & Motel,  Hotel",Accommodation & Food Services,0.9536,"Interesting quirky room (and very spacious compared to London and New York) with some great furniture and touches (like a guitar). If you've stayed at an Ace Hotel before, you'll know what to expect, and this new branch doesn't disappoint.",1,"[('ace', 1.0), ('bar', 1.0), ('branch', 1.0), ('compared', 1.0), ('cool', 1.0)]",4.0
14,Admiral Hotel,TX,76006,"Hotel & Motel,  Hotel,  Hotel North Arlington",Accommodation & Food Services,-0.296,room did not come with a refridge or micro. iron worked poorly along with the hair dryer. drain for the tube work poorly and took quite a while to drain.,1,"[('drain', 2.0), ('checked', 1.0), ('couple', 1.0), ('dryer', 1.0), ('hair', 1.0)]",2.0
15,Admiral's Ocean Inn,ME,4915,"Lodging,  Hotel & Motel reservations,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.09689999999999999,The guest that were there looked as though they lived there the room next to us had a plant hanging up in the window. More We stayed a half hour and left all I can say is gross and LOUD.....,2,"[('sink', 3.0), ('bathroom', 1.0), ('bed', 1.0), ('booked', 1.0), ('cleaned', 1.0)]",1.0
16,Adobe Hacienda Motel,FL,33020,"Lodging,  Motel,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.84105,"From the moment i came here, Nita Perry were the most gracious couple ever, And while they need not accommodate my large truck, And trailer, With bikes in the back, They did with open arms :). I Love how this place feels like home, Not a Motel.",2,"[('motel', 2.0), ('retro', 2.0), ('1953', 1.0), ('accommodate', 1.0), ('arms', 1.0)]",4.0
17,Aerostay Hotel,SD,57104,"Lodging,  Motel,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.9485,We stayed overnight for convenience to an early morning flight. Surprisingly we did not notice the airport noise at all.,1,"[('airport', 3.0), ('clean', 1.0), ('comfortable', 1.0), ('convenience', 1.0), ('door', 1.0)]",5.0
18,Agate Beach Motel,OR,97365,"Motel,  Hotel & Motel,  Hotel & Motel reservations,  Lodging,  Hotel",Accommodation & Food Services,0.894,"We found this lovely spot through tripadvisor reviews, we agree with the previous positive comments: Very comfortable, squeaky clean, lovely view. Note: The 1 unit called a double queen provides 2 bedrooms 2 bathrooms, which was perfect for our group of 1 couple 1 single adult.",3,"[('beach', 3.0), ('lovely', 3.0), ('newport', 2.0), ('stay', 2.0), ('adirondack', 1.0)]",5.0
19,Alakai Hotel & Suites,WI,53965,"Hotel & Motel,  Motel,  Hotel,  Lodging",Accommodation & Food Services,0.704,"It was just my husband and I and we didn't have time for the pool amenities, so I... More It was VERY VERY clean and reasonably priced, but the furnishings were outdated.",1,"[('dells', 2.0), ('amenities', 1.0), ('arriving', 1.0), ('clean', 1.0), ('furnishings', 1.0)]",5.0
20,Alamar Resort Inn,VA,23451,"Hotel & Motel,  Hotel",Accommodation & Food Services,0.9858,"I sent flowers to a special someone staying there, and Tina went above and beyond, helping to deliver and make make it a special event for me, being I was a distance away. So glad to be of service, and, loved seeing the surprise, and, happiness on the face of your special someone !",1,"[('special', 3.0), ('alamar', 1.0), ('customer', 1.0), ('deliver', 1.0), ('distance', 1.0)]",4.0
21,Alamo Motel,CA,93440,"Motel,  Hotel & Motel,  Hotel & Motel reservations,  Hotel",Accommodation & Food Services,0.4934,"A day before our stay I looked at the Alamo's web site, which advised that one needs to call the motel to get a refurbished room. I'd read an article saying that all the rooms had been refurbished, so I thought I was OK.",1,"[('refurbished', 2.0), ('advised', 1.0), ('alamo', 1.0), ('article', 1.0), ('calling', 1.0)]",3.0
22,Algoma Beach Motel,WI,54201,"Business Hotel,  Lodging,  Motel,  Resorts,  Corporate Lodging,  Hotel & Motel,  Boutique Hotel,  Family-friendly Hotel,  Hotel",Accommodation & Food Services,0.9811,Only 45mins from Lambeau field for u packer fans. Having the lake as our view just amazing.,1,"[('love', 2.0), ('45mins', 1.0), ('algoma', 1.0), ('amazing', 1.0), ('beach', 1.0)]",4.0
23,Alicia's Eagle Rock Lodge,AK,99611,"Lodging,  Motel,  Hotel & Motel,  Travel and Tourism,  Hotel",Accommodation & Food Services,0.3818,The bags had to be on the bed to walk around and on the floor to sleep. You could not walk around the room with a suitcase on the floor.,1,"[('14', 2.0), ('fine', 2.0), ('floor', 2.0), ('walk', 2.0), ('bags', 1.0)]",3.0
24,All Seasons Resort,MI,49646,"Lodging,  Motel,  Resorts,  Hotel & Motel,  Hotel",Accommodation & Food Services,0.9403,"Breakfast was good as well, front desk always friendly and accomadating, would recommend to anyone. Clean, comfortable, quiet, everything in working order.",1,"[('accomadating', 1.0), ('breakfast', 1.0), ('clean', 1.0), ('comfortable', 1.0), ('desk', 1.0)]",4.0
25,Allstate Inn,IN,47274,"Hotel & Motel,  Insurance,  Hotel",Accommodation & Food Services,-0.36555,"The Allstate Inn located in historic Seymour Indiana (Home to John Couger Mellancamp) is a two star establishment independently owned and operated, right off of I-65 and right next to a Waffle House. It is also not located far from Wal-Mart and a couple of other decent restaurants and gas stations in the area.",2,"[('located', 2.0), ('allstate', 1.0), ('alternative', 1.0), ('bed', 1.0), ('breakfast', 1.0)]",2.0
26,Aloft Arundel Mills,MD,21076,"Hotel & Motel,  Motel,  Travel agencies and bureaus,  Hotel & Motel Management,  Hotel",Accommodation & Food Services,0.6674166666666667,"Especially Olivia who was Extra special because she remembered me by my voice over the phone ...which tells me she is very alert and pays attention to the customer their needs. Clean, with a very modern look, upgraded bathrooms and amenities and super nice staff.",6,"[('desk', 4.0), ('olivia', 4.0), ('hotel', 3.0), ('staff', 3.0), ('stayed', 3.0)]",4.5
27,Aloft Atlanta Downtown,GA,30308,"Business Hotel,  Hotel & Motel,  Lodging,  Hotel & Motel mgmt.,  Budget Hotel,  Family-friendly Hotel,  Tourist Hotel,  Hotel",Accommodation & Food Services,0.882625,"So if you do not mind sprwling your stuff in the rom without storing them away in drawers, you would love this place!Dear yk303705,We are pleased to hear you find our hotel to be a great value and enjoy your experience while staying with us. However, I guess this is part of the desging scheme but there were no drawers in my room (there are number of shelves you can put your stuff on) and the lighting in the room was pretty sparce.",16,"[('hotel', 24.0), ('stay', 13.0), ('aloft', 11.0), ('experience', 10.0), ('stayed', 9.0)]",4.12
28,Aloft Bolingbrook,IL,60440,"Travel agencies and bureaus,  Hotel & Motel,  Hotel,  Lodging",Accommodation & Food Services,0.1154,"The huge lobby has a giant fireplace, a billiards table, and a full bar, where guests were hanging out and socializing. The only hassle was that they charged for the breakfast on a per-item basis, which was mediocre quality and expensive.",1,"[('attractive', 1.0), ('bar', 1.0), ('basis', 1.0), ('billiards', 1.0), ('breakfast', 1.0)]",5.0
29,Aloft Buffalo Airport,NY,14225,"Airports,  Hotel & Motel,  Hotel & Motel reservations,  Lodging,  Travel and Tourism,  Hotel",Accommodation & Food Services,0.7366,The front desk did great when the shuttle got busy and provided us with a small token when the shuttle could not get to us for dinner.   I stay at this hotel frequently and always receive friendly service but this time my experience at the bar was exceptional.,6,"[('airport', 4.0), ('hotel', 4.0), ('bar', 3.0), ('service', 3.0), ('shower', 3.0)]",4.5
30,Aloft Cleveland Downtown,OH,44113,"Hotel & Motel,  Real estate,  Hotel,  Lodging",Accommodation & Food Services,0.4009,We booked through Travelocity and got a more than reasonable rate for airfare and lodging at Aloft.  Came out here to see my friends band play at the flats just across the street from Aloft!,3,"[('aloft', 3.0), ('cleveland', 3.0), ('hotel', 3.0), ('water', 3.0), ('decor', 2.0)]",4.33
31,Aloft Dallas Downtown,TX,75202,"Banquet facilities,  Hotel & Motel,  Hotel",Accommodation & Food Services,0.9876,"Aloft in Downtown Dallas is affordable, and the decor is hip modern (and slightly cheesy, but refreshing and beautiful in contrast to the souless reds, beiges and florals of most chain hotels). Overall I'm fond of this place and wish Aloft would replace the Days and Holiday Inns of the world.",1,"[('aloft', 2.0), ('affordable', 1.0), ('ate', 1.0), ('bar', 1.0), ('bathroom', 1.0)]",5.0
32,Aloft Denver Downtown,CO,80202,"Hotel Central Business District,  Lodging,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.9123,"The room was clean, efficient, and allowed for green savings (5.00 coupon per day when maid service for towels and sheets weren't laundered We redeemed the daily coupons at the XYZ Bar in the lobby!). Loved the room layout which allowed for a long bench between desks for our double bed...",1,"[('allowed', 2.0), ('00', 1.0), ('bar', 1.0), ('bed', 1.0), ('bench', 1.0)]",5.0
33,Aloft Detroit At The David Whitney,MI,48226,"Hotel & Motel,  Hotel,  Lodging",Accommodation & Food Services,0.9653,Coffee in the lobby is complimentary and parking is either valet or... Our room had a terrific view of Comerica Park and Wooodward Avenue.,1,"[('terrific', 2.0), ('aloft', 1.0), ('avenue', 1.0), ('bathroom', 1.0), ('building', 1.0)]",4.0
34,Aloft Detroit at The David Whitney,MI,48226,"Hotel & Motel,  Hotel,  Lodging",Accommodation & Food Services,0.8937,"A wonderful blending of the old and new, this place has a distinctive urban vibe without being overwhelming. More The lower floors of this beautiful office building have been re-purposed as the Aloft Detroit.",2,"[('aloft', 2.0), ('avenue', 2.0), ('building', 2.0), ('comerica', 2.0), ('contemporary', 2.0)]",4.0
35,Aloft Durham Downtown,NC,27701,"Hotel & Motel,  Motel,  Lodging,  Hotel Bull Durham,  Travel and Tourism,  Hotel",Accommodation & Food Services,0.8355,"We parked in their parking deck and everything was within walking distance including restaurants, Durham Bulls Athletic Park, and of course DPAC. The property has an excellent location, nice amenities (consistent with Aloft brand), and a very friendly, helpful staff.",2,"[('aloft', 3.0), ('clean', 2.0), ('dpac', 2.0), ('durham', 2.0), ('park', 2.0)]",4.5
36,Aloft Greenville Downtown,SC,29601,"Lodging,  Hotel & Motel,  Hotel,  Hotel Downtown Greenville",Accommodation & Food Services,0.6865,"I booked a convention at the last minute and found the ALOFT incredibly affordable, almost 90 dollars less than the Hyatt and the Westin. The room is large with an large shower and bath area, large desk for work .",1,"[('aloft', 2.0), ('incredibly', 2.0), ('90', 1.0), ('affordable', 1.0), ('bath', 1.0)]",5.0
37,Aloft Houston by the Galleria,TX,77056,"Business Hotel,  Hotel & Motel,  Hotel & Motel reservations,  Resorts,  Weekend Getaway Hotel,  Lodging,  Boutique Hotel,  Hotel Uptown-Galleria,  Ski Resorts,  Luxury Hotel,  Family-friendly Hotel,  Tourist Hotel,  Hotel",Accommodation & Food Services,0.8288,They're meds are super high...go across the street to the drug store...just walk...don't bother moving the car... It was booked on Hotwire...decent...but couldn't get 2 beds...that that was a small issue...but not major...,1,"[('beds', 1.0), ('booked', 1.0), ('bother', 1.0), ('car', 1.0), ('cute', 1.0)]",4.0
38,Aloft Houston by the Galleria,TX,77056,"Business Hotel,  Hotel & Motel,  Lodging,  Resorts,  Hotel & Motel reservations,  Weekend Getaway Hotel,  Hotel Uptown-Galleria,  Boutique Hotel,  Ski Resorts,  Luxury Hotel,  Family-friendly Hotel,  Tourist Hotel,  Hotel",Accommodation & Food Services,0.9588,"Upon arriving , Josh at the front desk greeted us with a smile, jokes and a welcoming personality . I just wanted to take the time to recommend this hotel to anyone in the area.",1,"[('accessible', 1.0), ('arriving', 1.0), ('central', 1.0), ('desk', 1.0), ('greeted', 1.0)]",5.0
39,Aloft Jacksonville Tapestry Park,FL,32246,"Cocktail Bar,  Hotel & Motel,  Lodging,  Bar,  Hotel Bar,  Hotel",Accommodation & Food Services,0.9225200000000001,The decor is fabulous and sheik  Overall great stay. Very nice breakfast with individualized orders.,5,"[('stay', 4.0), ('friendly', 3.0), ('nice', 3.0), ('booked', 2.0), ('boys', 2.0)]",4.8
40,Aloft Louisville Downtown,KY,40202,"Hotel & Motel,  Lodging,  Restaurants,  American restaurants,  Hotel",Accommodation & Food Services,0.8935333333333334,And the bed was sooo comfortable - which I've found to be a standard feature at a Starwood hotel. Rooms weren't ready until after 5 due to hotel being full w/ concert goers.,3,"[('hotel', 6.0), ('parking', 3.0), ('stay', 3.0), ('bed', 2.0), ('concert', 2.0)]",4.67
41,Aloft New Orleans Downtown,LA,70112,"Hotel & Motel,  Motel,  Hotel,  Lodging",Accommodation & Food Services,0.9424157894736842,"We do in fact have a 72 hour cancellation policy that would have been clearly stated on the reservation when your travel agent booked so it certainly seems they would have informed you of that especially if you have a volatile schedule. The hotel is just out of the centre, about five minutes walk from Bourbon street and the French Quarter so very handy for the bars and restaurants, there are also a couple of supermarkets nearby.",19,"[('hotel', 28.0), ('stay', 12.0), ('aloft', 10.0), ('krauss', 9.0), ('bar', 8.61188628270023)]",4.26
42,Aloft New Orleans Downtown,LA,70112-1701,"Lodging,  Motel,  Hotel",Accommodation & Food Services,0.9712692307692308,"Our toiletries were shoved to a corner or moved over so they could place new toiletries, I had a half eaten sandwich placed on a shelf instead of being thrown away, the coffee pot wasn't put back or the coffee replenished (but new coffee cups were given), whatever was left on the bed was thrown back on it, there was a bottle cap left on the floor... small things that added up. The valet out from was super helpful when we were getting ready to leave by reserving us a taxi so we did not have to wait when we wanted one and put our items in the vehicle while we were checking out to make the process smooth and efficient.",39,"[('hotel', 39.0), ('krauss', 30.0), ('staff', 30.0), ('aloft', 28.0), ('stay', 27.0)]",4.23
43,Aloft Philadelphia Airport,PA,19153,"Airports,  Hotel & Motel,  Hotel",Accommodation & Food Services,0.9860000000000001,"I loved how modern this hotel was and how it had everything we needed that I actually want to go to some of their other hotels in random states just to try them out too. Other than that it was a beautiful modern hotel with great amenities, clean rooms and a friendly sharply dressed staff.",3,"[('hotel', 6.0), ('modern', 5.0), ('airport', 4.0), ('nice', 4.0), ('aloft', 3.0)]",4.67
44,Aloft Philadelphia Downtown,PA,19107-6523,"Bar and grill restaurants,  Hotel & Motel,  Lodging,  Hotel & Motel Consultants,  Hotel",Accommodation & Food Services,0.986725,"Of course you don't have to wait for his birthday to come back, we can help write a new Rx if needed: Phillies, Bell, Parkway, Casino, Shopping, Kimmel Center, Concerts, Theater, just to name a few :) Favorite part was the lobby, just a great place to hang out, nice bar, fun games, music at night, really cool area.",16,"[('hotel', 28.0), ('stay', 17.0), ('city', 13.0), ('staff', 12.0), ('glad', 10.0)]",5.0
45,Aloft Sarasota,FL,34236,"Hotel & Motel,  Hotel,  Lodging",Accommodation & Food Services,0.9384,"I checked in, went up to my room, called down to request a better view, and was immediately given a new room. The location can't be beat, it's within easy walking distance of down town.",2,"[('hotel', 2.0), ('lobby', 2.0), ('advantage', 1.0), ('aloft', 1.0), ('bar', 1.0)]",5.0
46,Alpine Inn,IL,61108,"Hotel and Resort,  Hotel & Motel,  Hotel",Accommodation & Food Services,0.7080666666666667,The lady that checked us in seemed like she didn't know much about the hotel or anything in the area. Overall the place was clean and a bargain for the price.,3,"[('breakfast', 2.0), ('lady', 2.0), ('stay', 2.0), ('3rd', 1.0), ('awesome', 1.0)]",4.0
47,Alpine Motel,VA,24210,"Hotel & Motel,  Motel,  Lodging,  Travel and Tourism,  Hotel",Accommodation & Food Services,0.8007666666666667,"Towels are small and... More  After reading the reviews about the Alpine Motel we decided to spend a night there on our way back to Canada. They do not provide shampoo or a coffee maker but the rooms are super clean, it is quiet and the rooms are huge.",3,"[('motel', 3.0), ('alpine', 2.0), ('clean', 2.0), ('fridge', 2.0), ('microwave', 2.0)]",3.67
48,Alpine River Suites,GA,30545,"Lodging,  Hotel",Accommodation & Food Services,0.9657,I wanted to take the bed home with me it was so comfortable. From the staff to other travelers staying there.,1,"[('awesome', 2.0), ('ate', 1.0), ('bed', 1.0), ('breakfast', 1.0), ('cabin', 1.0)]",5.0
49,Ambassador Hotel,WI,53233,"Business Hotel,  Hotel & Motel,  Travel,  Banquet facilities,  Budget Hotel,  Family-friendly Hotel,  Tourist Hotel,  Hotel",Accommodation & Food Services,0.48550000000000004,"We enjoyed our stay, the staff was friendly and helpful with info about where we were visiting. Restaurant (Envoy) had the best brunch I've ever had -- they do small plates instead of...",5,"[('hotel', 5.0), ('staff', 3.0), ('desk', 2.0), ('envoy', 2.0), ('helpful', 2.0)]",2.8
50,"Ambassador Hotel Oklahoma City, Autograph Collection",OK,73103,"Hotel and Resort,  Hotel & Motel,  Hotel",Accommodation & Food Services,0.7524333333333333,"When you walk in you are immediately greeted by the person behind the counter the person who opens the door for you. walking distance to great restaraunts and not far from brick town, okc memorial.",6,"[('service', 4.0), ('bar', 3.0), ('nice', 3.0), ('bit', 2.0), ('care', 2.0)]",4.17
51,America's Best Inn Annandale,MN,55302,"Hotel & Motel,  Hotel",Accommodation & Food Services,0.8119,The ice machine was being repaired but she had ice on had to offer us. The desk clerk (manager ) was very friendly and accommodating.,1,"[('ice', 2.0), ('accommodating', 1.0), ('clean', 1.0), ('clerk', 1.0), ('desk', 1.0)]",5.0
52,America's Best Inn Suites,GA,30093,"Hotel & Motel,  Hotel",Accommodation & Food Services,-0.9622,"This property does not look bad from out front, but room 118 is the worst I have ever seen anywhere. A large hole in the wall beside the bathtub where perhaps a soap dish was supposed to be was... More",1,"[('door', 2.0), ('118', 1.0), ('bad', 1.0), ('bathroom', 1.0), ('bathtub', 1.0)]",1.0
53,America's Best Value Inn,CA,95482,"Business Hotel,  Hotel & Motel,  Hotel & Motel reservations,  Budget Hotel,  Tourist Hotel,  Hotel,  Family-Friendly Hotel",Accommodation & Food Services,-0.5106,"The freeway is close by as is a Walmart with a Subway for dinner, fruit for our next day's breakfast. The rooms were clean and the staff was responsive when we had difficulties with our air conditioner.",1,"[('air', 1.0), ('breakfast', 1.0), ('clean', 1.0), ('close', 1.0), ('conditioner', 1.0)]",4.0
54,America's Best Value Inn,KS,67401,"Lodging,  Motel,  Hotel",Accommodation & Food Services,-0.854,I didn't feel like I would be able to sleep there.... Checked in but told them I couldn't stay there.,1,"[('dark', 2.0), ('170', 1.0), ('advisor', 1.0), ('bugs', 1.0), ('checked', 1.0)]",1.0
55,America's Best Value Inn,KY,40510,"Hotel & Motel,  Hotel & Motel reservations,  Hotel",Accommodation & Food Services,-0.40307499999999996,"I stayed here for two nights and although it is not fancy, it was adequate. My room had a mini-refrigerator and a coffee pot with coffee pods.",4,"[('coffee', 3.0), ('airport', 2.0), ('awful', 2.0), ('close', 2.0), ('creeps', 2.0)]",2.25
56,America's Best Value Inn,PA,15301,"Hotel & Motel,  Motel,  Hotel,  Lodging",Accommodation & Food Services,-0.503175,"I knew going into this that i was getting a worker's hotel, but I didn't expect the used condom left in the garbage in my room, or the window that didn't have locks. Denny's is right next door and other restaurants are close  I hate writing reviews like this as a guy that owns a business, but you really shouldn't stay here...",4,"[('smoking', 3.0), ('bed', 2.0), ('burn', 2.0), ('business', 2.0), ('holes', 2.0)]",2.25
57,America's Best Value Inn Suites,TN,38474,"Motel,  Hotel,  Lodging",Accommodation & Food Services,0.8126,The rooms are always clean and comfortable and the owners are friendly and helpful. They need to invest in a snack machine or snack display in the lobby.,1,"[('snack', 2.0), ('00', 1.0), ('breakfast', 1.0), ('clean', 1.0), ('comfortable', 1.0)]",3.0
58,American Inn,KY,42240,"Bed Breakfasts,  Hotel & Motel,  Lodging,  travel,  Motel,  Bed & Breakfasts,  Hotel",Accommodation & Food Services,-0.9703,"Hello, I have traveled a lot and abroad and by far this is the worst place i have ever booked. this place is one of those hotels they show in horror movies where they kill people.",1,"[('horrible', 2.0), ('booked', 1.0), ('horror', 1.0), ('hotels', 1.0), ('key', 1.0)]",1.0
59,American Inn,NV,89801,"Lodging,  Bed and Breakfast and Inns,  Hotel & Motel,  Motel,  Hotel & Motel consultants,  Hotel",Accommodation & Food Services,0.6808,Clean and quiet...very reasonable rates....would stay again....fridge and microwave worked well...no coffee pot or cups....basic room however good for a budget stay...if in the area again would stay there....,1,"[('stay', 3.0), ('basic', 1.0), ('budget', 1.0), ('clean', 1.0), ('coffee', 1.0)]",4.0
60,Americana Hotel,VA,22202,"Hotel & Motel,  Hotel",Accommodation & Food Services,0.6933833333333334,"Eeverywhere clean, comfortable large rooms, updated to modern day requirements of large FlatScreen TV's and fridges, although no coffee or tea making facilities in the room. The room was much cheaper than anything else available, and there was lots of parking- for free!",6,"[('americana', 4.0), ('breakfast', 4.0), ('clean', 3.0), ('coffee', 3.0), ('comfortable', 3.0)]",3.67
61,Americas Best Value Astoria Inn and Suites,CA,92805-6051,"Motel,  Hotel & Motel,  Hotel & Motel reservations,  Lodging,  Hotel",Accommodation & Food Services,-0.199,"a bag of bread, a toaster, doughnuts from the box store, and a jug of old orange juice is not going to get anyone through the morning. it is so close to Disneyland we were able to watch the fireworks from the room, and the night clerk was very helpful.",2,"[('stay', 3.0), ('breakfast', 2.0), ('continental', 2.0), ('day', 2.0), ('disneyland', 2.0)]",2.5
62,Americas Best Value Inn,CT,6455,"Lodging,  Motel,  Hotel",Accommodation & Food Services,0.9134,A good basic room at a good price and the management was very helpful. We had 5 rooms and all were clean and well maintained.,1,"[('basic', 1.0), ('clean', 1.0), ('helpful', 1.0), ('maintained', 1.0), ('management', 1.0)]",5.0
63,Americas Best Value Inn,IN,46637-3313,"Travel and Tourism,  Lodging,  Motel,  Hotel",Accommodation & Food Services,0.9179333333333334,"The room was clean, the beds very comfortable, and the property well maintained, but it was the friendly, warm-hearted proprietor who made this place special. I would recommend this motel as not only a good value but as a place with an unusually pleasant atmosphere.",3,"[('beds', 2.0), ('clean', 2.0), ('friendly', 2.0), ('minutes', 2.0), ('recommend', 2.0)]",4.33
64,Americas Best Value Inn,KY,42503,"Motel,  Hotel",Accommodation & Food Services,0.03373333333333336," Well...this was a much different experience than the red roof inn just 1 mile down the street. This place is OLD, VERY OLD...was a days Inn, and a Best Western prior to that!.",3,"[('inn', 3.0), ('checked', 2.0), ('clerk', 2.0), ('desk', 2.0), ('stayed', 2.0)]",1.33
65,Americas Best Value Inn,ME,4210,"Lodging,  Hotel & Motel reservations,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,0.48155000000000003,"The heat wasn't working, so it was pretty cold, but it was obvious they were doing their best to fix it so we toughed it out the first night. They even lent me a wall charger for my phone for the night (and offered to let me keep it when I went to return it the next morning).",4,"[('phone', 4.0), ('stay', 4.0), ('told', 4.0), ('night', 3.0), ('cancel', 2.0)]",2.75
66,Americas Best Value Inn,MI,49938,"Lodging,  Hotel & Motel reservations,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,0.7820999999999999,"Although the employees were very nice and friendly, and the hotel was clean, I cannot give it more stars because the rooms were tiny and the beds were the most uncomfortable I have ever slept on. Stayed for 2 night with 2 dogs, really clean hotel for being pet friendly the staff was really friendly.",3,"[('friendly', 3.0), ('cash', 2.0), ('clean', 2.0), ('hotel', 2.0), ('250', 1.0)]",4.0
