,Hotel Name,Province,Country,ReviewDate,Review,Compound Sentiment
24,Hotel Zelos,CA,US,2016-07-07T00:00:00Z,"Hotel Zelos was a great place to stay in San Francisco. The staff is definitely the highlight of the hotel. The hotel itself is great: clean, well decorated, etc, but the people who work there were very helpful and friendly. The location is great being right next to the Powell BART station but the neighborhood is under construction. This obviously isn't the fault of the hotel and won't impact your stay. We couldn't hear any of the construction, but it makes it a little more difficult to get around. Overall, I definitely recommend Hotel Zelos!",0.9852
25,Hotel Zelos,CA,US,2016-10-06T00:00:00Z,"Pros: the location is awesome, the room size is great, the bathroom is nice also with a nice tub. Bad: the style and furniture starts to get really old, no breakfast despite the high price, the price is high, nothing exeptionnal... We were 4 people and so 4 reservations. Unfortunately one was missing. It was 1am so very bad surprise.... More",-0.033
26,EconoLodge,NJ,US,2012-08-30T00:00:00Z,After getting the bait and switch I decided I'd rather stay anywhere else. I'm sure I wasnt missing much as it looks like project style crack house apartments. The front desk (old middle eastern lady) was extremely rude and up charged me 50 when I got there! I travel and stay in hotels 250 days/ year and trust me this... More,0.6354
27,EconoLodge,NJ,US,2012-07-17T00:00:00Z,"We had no choice but to stay here when a tornado hit the area and most of Vineland was without power. They charged us 190 for one night, wouldn't accept my AAA card and after leaving, we found out, we had been charged for 4 cats (which we don't own) and for another person. It was only my husband and... More",-0.1531
28,Hampton Inn Suites National HarborAlexandria Area,MD,US,2018-01-05T00:00:00.000Z,"Hotel is in the perfect spot at the perfect price with the not so perfect view. Expedia rep said that it was facing the water and in a way it was but at a 45 degree angel past the parking lot and a few other obstructions. You have to stretch your neck at the furthest corner of the window to gain a peak. But it was still good though. The room sleeps like nobody's business. Once your head hits the pillows its light out. What I did not like was the front desk personnel. They really did not like there job and it showed. No eye contact, no smiles, no small talk, and what really disturbed me was at check in when I was told to sign this that's how it was put. I was like what is it Just sign - its nothing. Sir What am I signing. Oh if you have a party and smoke we can charge you 250.00(eyes still on monitor). Well sir. Tell me that. Next. Came back later that night to get snacks out of the cupboard. Over priced but I expected that but the person at the front desk was lifeless and didn't not even give me a total. She just says. Its charged to your room and kept staring at her monitor(again the monitor). WOW. But what makes up for some of the small inconsistencies is that fact that the water is in walking distance. The Ferris wheel is right there and Gaylord Hotel is right across the street. Good energy in the area and great spots to eat(Redstone) . Cant wait to visit again. Thanks for the snacks!",0.9939
29,Hampton Inn Suites National HarborAlexandria Area,MD,US,2014-08-25T00:00:00.000Z,Excellent experience. Will come again and book stay in the future,0.5719
30,Hampton Inn Suites National HarborAlexandria Area,MD,US,2009-01-07T00:00:00.000Z,"heat in room did not work properly, tv remote was broken excessive noise",-0.4767
31,Hampton Inn Suites National HarborAlexandria Area,MD,US,2016-01-19T00:00:00.000Z,"Even though we were having problems, i.e. Feather allergy, Flat tire, key not working...the front desk personell were always gracious and helpful.",0.5719
32,Hampton Inn Suites National HarborAlexandria Area,MD,US,2011-02-08T00:00:00.000Z,"Brand new hotel in brand new retail area on the water. Easy to access off the beltway. Friendly staff, clean rooms, comfortable beds. Only complaint is that the full offering of the Hampton Inn breakfast was not available at the two times we came down (at 7am and 9am on a Saturday). The food at 9am had been in the bin too long. Still more choices than the continental breakfast at other places, including make-you-own waffles and yummy egg burritos. The fee for parking in the community garage was free with room key and even included a convenient room key drop upon final exit. Pool but no hot tub.",0.6652
33,Hampton Inn Suites National HarborAlexandria Area,MD,US,2014-12-19T00:00:00.000Z,It was a great stay,0.6249
34,Hampton Inn Suites National HarborAlexandria Area,MD,US,2017-07-08T00:00:00.000Z,"My sister came into town so we decided to go to The National Harbor for a night. Checking in, the hotel staff was very pleasant. Parking is in a garage behind the hotel, for 18. Our room was clean with nice views. The bed was very comfortable. We were able to walk comfortably to the harbor and sightsee. There are also restaurants and bars within walking distance. Breakfast was great, with canadian bacon and sausage patty meat options. There was also a waffle station, eggs, potatoes, fruit, yogurt, cereal, muffins, and other pastries. Checkout was a breeze, and the front desk staff again, was very pleasant. I very much enjoyed my stay and I will definitely return!",0.983
35,Hampton Inn Suites National HarborAlexandria Area,MD,US,2014-07-18T00:00:00.000Z,Free breakfast! Attentive staff Fantastic location,0.8016
36,Hampton Inn Suites National HarborAlexandria Area,MD,US,2014-03-28T00:00:00.000Z,"Excellent experience. Due to a mix-up on my part with the online travel service it was set up as a king rather than two queen beds, for two guys. I immediately called at the time and Hampton said they would make a note that a room with two queens was needed. When i got there, they didn't have a 2-queen room so they put me up in another king room (and my buddy stayed in the original room) at NO additional expense, and I moved to a 2-queen room the next day. That is awesome, customer-oriented service.",0.8002
37,Hampton Inn Suites National HarborAlexandria Area,MD,US,2011-07-28T00:00:00.000Z,The room was really big and clean. The staff was great. The hotel offers free breakfast that was really good ( not the usual crappy free breakfast) The only thing I didn't like about the room was that the air conditioner was regulated a motion sensor. We happened to be staying here on one of the hottest days of the year. The unit only stays on if the motion censor registers a person being in the room. Upon arriving the room was hot. It took about 20 mins for it to cool off. Also the AC cut off during the night when we fell asleep (No movement). I woke up in a pool of sweat and had to get up a walk around periodically to keep the AC going. That really sucked..,0.942
38,Hampton Inn Suites National HarborAlexandria Area,MD,US,2010-09-11T00:00:00.000Z,THE LOCATION OF THE HOTEL WAS OUTSTANDING. BUT THERE IS AND ADDITIONAL COST FOR PARKING JUST KEEP THAT IN MIND . IF YOU PAY FOR PARKING AT THE TIME YOU CHECK - IN BE SURE TO HAVE IT OUT BEFORE 1 PM THE NEXT DAY,0.5927
39,Hampton Inn Suites National HarborAlexandria Area,MD,US,2016-10-08T00:00:00.000Z,"was too quick, but very nice area",0.6297
40,Hampton Inn Suites National HarborAlexandria Area,MD,US,2013-11-25T00:00:00.000Z,"clean, good area, very kind crew, easy to park",0.9092
41,Hampton Inn Suites National HarborAlexandria Area,MD,US,2014-04-21T00:00:00.000Z,We had a great overnight trip to the National Harbor near DC. All of the sites and entertainment were within walking distance!,0.8016
42,Hampton Inn Suites National HarborAlexandria Area,MD,US,2014-04-27T00:00:00.000Z,I loved my stay VIP service all the way. I didn't want to leave. I can honestly say I will visit again. I give it 5 stars,0.897
43,Hampton Inn Suites National HarborAlexandria Area,MD,US,2013-06-21T00:00:00.000Z,"The only problem I have was their sensorize INNCOM thermostat for air conditioning unit to start-up. If there are not movement inside the room, it will not kick in..... sucks!! the trick is, you have to keep moving while sleeping to keep the AC running (LOL)....",-0.3343
44,Hampton Inn Suites National HarborAlexandria Area,MD,US,2013-08-20T00:00:00.000Z,"Convenient and comfortable. Staff is great, breakfast and WiFi is a bonus.",0.8979
45,Hampton Inn Suites National HarborAlexandria Area,MD,US,2015-02-13T00:00:00.000Z,I was really disappointed with the TV service. Very few channels and poor quality.,-0.7574
46,Hampton Inn Suites National HarborAlexandria Area,MD,US,2013-06-24T00:00:00.000Z,"Awesome, Overall",0.6249
47,Hampton Inn Suites National HarborAlexandria Area,MD,US,2014-04-04T00:00:00.000Z,Better with more extras like breakfast. Preferred place to sleep for conference.,0.6887
48,Hampton Inn Suites National HarborAlexandria Area,MD,US,2016-04-03T00:00:00.000Z,Very good experience. Staff was great. Enjoyed my times especially after my previous fiasco at that other hotel.,0.807
49,Hampton Inn Suites National HarborAlexandria Area,MD,US,2013-12-23T00:00:00.000Z,"The hotel is located near all the attractions on the Harbor. We were provided more than we expected. There was parking right across the street restaurants within 5 minute walking distance and most of all hot and cold continental breakfast in the morning and hot coffee and tea available all day in the lobby. The rooms were very comfortable. I slept just like I was at home. Oh, I can't forget the staff: they were on their job with an attitude of excellence!",0.9331
50,Hampton Inn Suites National HarborAlexandria Area,MD,US,2012-04-02T00:00:00.000Z,"Repeat trip to this hotel for national conference attendance. Provides a quality stay, business center kept me in touch and great value for limited travel budget.",0.6808
51,Hampton Inn Suites National HarborAlexandria Area,MD,US,2012-02-07T00:00:00.000Z,I can't comment on the breakfast because we slept through it but everything else was excellent! I dont know why anyone would pay twice the price to stay at the Gaylord. 5 stars all the way!,0.7214
52,Hampton Inn Suites National HarborAlexandria Area,MD,US,2015-03-15T00:00:00.000Z,Our room was a bit small. There was no microwave in the room. Location was more for couples than for family. The room itself And service were excellent.,0.3612
53,Hampton Inn Suites National HarborAlexandria Area,MD,US,2011-02-17T00:00:00.000Z,"This hotel is a peach. The staff are friendly, the hot breakfast filling and the rooms are immaculate. This should be a poster child for how to run a hotel.",0.4939
54,Hampton Inn Suites National HarborAlexandria Area,MD,US,2013-07-09T00:00:00.000Z,"Hampton Inn never disappoints. Always an affordable, clean hotel with attentive and friendly staff. The breakfast is always a plus too. Also, the National Harbor is a nice area full of shops and dining choices and seems to be a family friendly hangout destination for locals.",0.9199
55,Hampton Inn Suites National HarborAlexandria Area,MD,US,2011-03-01T00:00:00.000Z,I stayed here with some friends for a convention. It was a good room and the free breakfast was nice.,0.9022
56,Hampton Inn Suites National HarborAlexandria Area,MD,US,2012-04-12T00:00:00.000Z,"The hotel offers comfortable, somewhat elegant rooms but I suppose I was more impressed with the personnel and the warmth you get interacting with them. But for my phone call bills which seemed a bit high, my stay overall was great.",0.9601
57,Hampton Inn Suites National HarborAlexandria Area,MD,US,2014-04-21T00:00:00.000Z,"We were there for 3 nights and used it as a staging area for sightseeing in DC and Baltimore. It's a nice, new hotel with reasonable rates. The staff was great with our kids, who had a blast at the pool and the 24/7 snack bar. The continental breakfast was great, but they should consider expanding their hours or at least allowing guests to finish the food that is out at 10, because every morning the food was taken away promptly at 10:00 even though the area was packed with guests still trying to get breakfast. Parking was 13/day and right across the street, which is quite reasonable for the DC area.",0.7184
58,Hampton Inn Suites National HarborAlexandria Area,MD,US,2012-07-10T00:00:00.000Z,"Reasonable rates with free breakfast and right in front of Gaylord National Resort worked for me very well. The rooms have good size bathrooms and the air conditioning in the rooms was excellent. Parking is 11 per day and that is why I did not give it 5 stars. However, at National Harbor 11 is not bad especially when Gaylord charges double of it per day.",0.9149
59,Fairmont Grand Del Mar,CA,US,2015-11-13T00:00:00Z,"We hosted our annual Client Event at The Grand Del Mar and it was excellent!! The service, property, rooms, restaurants, and GOLF absolutely magnificent. Our conference managers were a gem, great service! Thank you for making an important event run so smoothly.",0.9646
60,Fairmont Grand Del Mar,CA,US,2016-03-11T00:00:00Z,"We enjoyed every minute of our stay in this breathtaking luxurious resort. The hotel is well kept and boasts caring and attending staff that do their best to make your stay memorable. The hotel offers great rooms, amenities and activities for all ages. I fell and fractured my hand on the last day of our stay (off property) and the... More",0.9738
61,Fairmont Grand Del Mar,CA,US,2014-12-15T06:00:00Z,"We arrived here very tired after 24 hours of travel and airports and from the moment we arrived we felt like royalty. We dined a Amaya multiple times (please see separate review). The room was stunning and more than we could ever expect, nothing was to little for the staff and they all seemed genuinely friendly even down to the... More",0.6258
62,Fairmont Grand Del Mar,CA,US,2015-11-27T00:00:00Z,"Stayed here for Thanksgiving and had the best experience. Before we arrived they asked my three year old little boy's name and when we arrived they had the most adorable kids travel pillow and personalized cookie waiting for him. They had children's games on the lawn right outside our bottom floor room, 105, and he had his face painted for... More",0.8268
63,Fairmont Grand Del Mar,CA,US,2015-12-26T00:00:00Z,"This exquisite property located in the penasquitos canyon of North County is a spectacular retreat. In a setting resembling a Mediterranean villa, the hotel is truly grand, with spacious rooms, several dining options and cozy sitting areas to relax and soak up the well appointed spaces and beautifully manicured grounds. The resort amenities include golf, tennis, heated pools and a... More",0.9371
64,Fairmont Grand Del Mar,CA,US,2015-03-25T05:00:00Z,"Five of the last six years, our company has hosted our annual meeting at the Grand Del Mar (and we regret not having it six out of six years). The GdM may be the top place to stay in the US, thus my recommendation is in the title of the review. The GdM is not inexpensive, but it is worth... More",0.128
65,Fairmont Grand Del Mar,CA,US,2015-04-30T05:00:00Z,We drove down for a weekend getaway and to celebrate a special birthday. Our infant son accompanied us. The room was nice but the bathroom was fabulous. We appreciated the separate large shower from the tub and the private toilet. I wasn't as much of a fan of the closet being inside the bathroom as it was a trip to... More,0.9524
66,Fairmont Grand Del Mar,CA,US,2015-10-09T00:00:00Z,This resort is GORGEOUS!! Check in was perfect our room wasnt ready (we were there early) so they took my phone number while we had drinks by the pool and in 20 mins or so our room was ready! The next day we had spa appts and the receptionist heard it was our honeymoon trip so after our massages we... More,0.812
67,Fairmont Grand Del Mar,CA,US,2015-01-04T06:00:00Z,The resort and staff are wonderful. The hotel is very nice and the groups are beautiful. The location is secluded so you need a rental car or to book the house car in advance. The concierge staff has not been to most of the spots so use trip advisor to help find the right places.,0.9245
68,Fairmont Grand Del Mar,CA,US,2014-10-30T05:00:00Z,"This is a very, very, very good hotel. My expectations were high because of the reviews I had read and it didn't quite meet my expectations. I know I'm knit-picking but while the abundance of fresh flower petals in my room were very nice I would gladly have traded them for a room service breakfast with hot coffee, hot ham... More",0.9178
69,Fairmont Grand Del Mar,CA,US,2015-10-13T00:00:00Z,"Expensive Yes. Service Above the norm! Nickel and dime you on the small stuff Nope! (one of my pet peeves if you are going to stay at a hotel of this caliber) This property gives you 5 star service. Forgot your work out clothes Let the staff know your size. Need some feminine products, be there in 5 minutes. The... More",0.508
70,Fairmont Grand Del Mar,CA,US,2015-11-07T00:00:00Z,"If you don't mind staying out of town, the Fairmont Grand Del Mar is a top quality choice for San Diego located about 25 minutes north of the airport. It is a large traditional colonial property, with a beautiful golf course on the west side of the grounds, ample parking, equestrian facilities and a good spa (which has the best... More",0.891
71,Fairmont Grand Del Mar,CA,US,2016-10-10T00:00:00Z,"This property is absolutely pristine. The grounds are perfectly maintained, the rooms are luxurious with exquisite detail and the hotel in general is just a site to see. The location is great if you want to be away from the city and in a quiet area with gorgeous views of the hills (but close enough to to drive to Del... More",0.9274
72,Fairmont Grand Del Mar,CA,US,2014-09-30T05:00:00Z,"I love The Grand Del Mar in Del Mar California. This might have been my 6th time there. It is the only hotel in the area that i will stay at. It is truly a 5 star property. The staff is professional and very attentive. The rooms are very spacious, with marble bathrooms and separate shower and soaking tub. The... More",0.8779
73,Fairmont Grand Del Mar,CA,US,2016-01-06T00:00:00Z,"We had a wonderful stay at the Fairmont! This is an excellent hotel, with great attention to detail including hotel grounds, architecture, amenities and staff. Service is first class and natural, you are made to feel very welcome. Great looking golf course, and plenty of other activities to enjoy such as walking, the pool, tennis. Or just relax in the... More",0.9819
74,Fairmont Grand Del Mar,CA,US,2014-10-20T05:00:00Z,"To date, this takes the prize. It did not overwhelm me but I was, over the four days I stayed, consistently well served and impressed at the degree of detail that was maintained in every aspect of the experience. In the same way that the hotel service was a consistently delivered, high degree of service, without being over the top,... More",0.8485
75,Best Western at OHare,IL,US,2016-10-09T00:00:00Z,It's a great place to stay and leave a car if you are flying out. The courtesy shuttle takes 10 minutes to get to O'Hare.,0.7506
76,Best Western at OHare,IL,US,2015-10-17T00:00:00Z,"Give Robert a raise! We were trying to catch a flight from O'Hare to ATL early in the morning and my girlfriend forgot her phone in the room. Luckily, we called and he managed to get the phone as we made our way back on the provided shuttle bus. Orlando the shuttle driver was quick to pull us into our... More",0.5562
77,Best Western at OHare,IL,US,2016-05-18T00:00:00Z,Average hotel for decent price. It was balanced. Housekeeping did leave our door only ajar after cleaning one day. Arrrggghhhh!!!!! Nothing was missing.,0.4322
78,Best Western at OHare,IL,US,2016-04-19T00:00:00Z,The room key did not work i to go to lobby 4 times no parking under heavy construction noise the staff very incompetent I will not come back to this hotel,-0.6697
79,Clarion Resort Waterpark,FL,US,2009-04-03T00:00:00.000Z,We Had the best time ever! r r What a ball we had at Clarion Resort Waterpark! r r The place was large enough to have plenty of rides but small enough to walk comfortably. r r The entire facility is NEW and all the rooms are well,0.8602
80,Virgin Hotels Chicago,IL,US,2016-07-30T00:00:00.000Z,"Awesome hotel. Virgin really took the time to figure out all things at are frustrating about staying in a hotel and fixed them - kudos!!! The hotel will become a regular haunt in the future. From free wifi, free cocktails, a mini bar you're not terrified to touch, not to mention the no check out time, they really are way ahead of the rest. Oh by the way did I mention the really cool room... Awesome! Highly recommend the hotel. From young teens to my parents in their 70's the hotel met our every need.",0.9685
81,Virgin Hotels Chicago,IL,US,2017-03-05T00:00:00.000Z,"Bad: The bed wasn't that comfy, which was surprising given all of the other amazing details. Sheets were rough/stiff- not cozy. Could be easily fixed, though!. Good: This was by far one of the best hotel experiences I've ever had. Check-in and check-out was super fast, staff was phenomenal, and the room was very intuitively set-up with thoughtful details technology. It was clear that Virgin isn't just a typical hotel. The chamber set-up of the room allowed for privacy comfort, even in a relatively small space. Snacks mini-bar had 7-11 prices. Everything was super clean, well serviced and wonderful. In short: STAY HERE!",0.9877
82,Virgin Hotels Chicago,IL,US,2017-04-26T00:00:00.000Z,"Bad: Noisy in lower floors, but not at all at higher ones. Good: Very comfy beds, great lobby/bathroom",0.8269
83,Virgin Hotels Chicago,IL,US,2017-07-27T00:00:00.000Z,Good: Staff went out of their way after checkout to locate an item I had left in the room. The room had already been cleaned and the staff got the item back to me as quickly as possible. Roof top bar was beautiful.,0.8225
84,Virgin Hotels Chicago,IL,US,2017-07-10T00:00:00.000Z,"Bad: A little bit of noise from the 'L' down below, but then again that is part of the character of the city. Good: Overall cleanliness, new feel, friendly efficient staff, great happy hour! Excellent location.",0.9828
85,Virgin Hotels Chicago,IL,US,2016-11-12T00:00:00.000Z,Bad: The room rate was terrible we had a Booking.com rate that was not honoured it soured the stay and was a big difference. We to date have no explanation!. Good: Location,-0.8325
86,Virgin Hotels Chicago,IL,US,2016-12-14T00:00:00.000Z,Bad: Had a couple of glitches getting the room serviced but otherwise very friendly and helpful staff. Good: Great location. Nice rooms with exceptionally comfortable bed.,0.9812
87,Virgin Hotels Chicago,IL,US,2017-07-17T00:00:00.000Z,Good: A fun place to stay with great staff and lots going on in and around the hotel.,0.8834
88,Virgin Hotels Chicago,IL,US,2016-09-02T00:00:00.000Z,Would be nice if the duvet were in a duvet cover as I just get tangled between the flat sheets and the comforter Gym could really do with some more variety in terms of machinery - Its impossible to do much leg work as there is no squat rack with a bar - or even a smith machine which has multiple purposes Super helpful staff 24/7 - very accommodating of my unusual hours Room service menu is amazing Views are amazing Cerise Bar on the roof is epic and the bartenders are amazing I will be coming back and SOON!,0.9716
89,Virgin Hotels Chicago,IL,US,2016-09-06T00:00:00.000Z,Bad: The hotel is next to train tracks so there is some noise from that pretty often but it's really not so bad and you kind of have to expect some noise when you're staying at a hotel that's literally in the middle of the city. Good: Very tech friendly as the hotel has its own smartphone app which allows you to order room service and control the thermostat among other things. The staff is very friendly and accommodating. The room is designed very well. Also the price of the mini bar items are actually reasonable.,0.9738
90,Virgin Hotels Chicago,IL,US,2016-11-09T00:00:00.000Z,Bad: Loved everything about Virgin Hotel. Good: First and foremost the staff - just wonderful. Friendly and very patient with all the enquiries we made! And we were there for the historic parade to celebrate the Chicago Cubs World Series win and the icing on the cake was another historic win - Ireland beating the All Blacks after 111 years!,0.9642
91,Virgin Hotels Chicago,IL,US,2017-06-26T00:00:00.000Z,"Bad: A little sticker shock with 65/night valet parking, but I hadn't done my research for cheaper options, so not a big deal. Good: Super hip and definitely a young techy vibe, but everyone was friendly and helpful. Room was as described and very spacious for the location and price. Even though it is right at the corner of the L Tracks, sound wasn't a problem. Exactly what was needed!",0.9438
92,Virgin Hotels Chicago,IL,US,2017-05-15T00:00:00.000Z,"Bad: Everything was great. Good: Superior experience. Loved everything about this hotel. Very comfortable, well thought out and fun arrangement of the room, great shower and products, good restaurants, wonderful roof bar. Looking forward to the next visit!",0.9851
93,Virgin Hotels Chicago,IL,US,2016-09-09T00:00:00.000Z,"Bad: We were on the 9th floor and slept really well but could hear the metro. Earplugs are supplied which were useful to my husband. There were two tvs in our one bedroom suite but only one remote control - odd when we wanted to watch two different shows. Good: Absolutely perfect location in Chicago, within one block of the metro, walking distance to most of the top areas to visit and very good restaurants. Very comfortable room and bed, neat layout for the closet and vanity, wonderful shower, cool design features (Vespa chair, red fridge, furniture).",0.9838
94,Virgin Hotels Chicago,IL,US,2017-06-10T00:00:00.000Z,"Bad: Intermittent barking dog!. Good: Spacious suite, recommend end room on high floor",0.2942
95,Virgin Hotels Chicago,IL,US,2017-06-23T00:00:00.000Z,"Good: The suite was very well apointed, plenty of room for an inroom breakfast --the bed and bedding were very nice. The staff couldnt be nicer We had a great night on the rooftop deck.... we never left the propertysmall plates a DJ and wonderful views. Ill be back",0.8996
96,Virgin Hotels Chicago,IL,US,2016-12-13T00:00:00.000Z,"Bad: A very minor quibble: only one side of the bed had a nightstand. Good: Room design was well thought out and executed, making an average-sized space especially user-friendly for a couple. Also, the room had more power outlets than I've ever seen in a hotel room. Staff was helpful and friendly, second-floor bar was very nice.",0.8622
97,Virgin Hotels Chicago,IL,US,2017-02-20T00:00:00.000Z,Bad: The view. Good: Everything,-0.1531
98,Virgin Hotels Chicago,IL,US,2016-09-22T00:00:00.000Z,"Beds were very comfortable, room amenities perfect. Enjoyed the lobby level coffee shop, roof top bar and happy hour on the 2nd level every evening. A great bonus!",0.9753
