,Hotel Name,Province,Postal,Category,SubCategory,Compound Sentiment,Review Summary,Total Reviews,Popular Keywords,Average Rating
13,Algoma Beach Motel,WI,54201,"Hotels,Lodging,Motels,Corporate Lodging,Resorts,Hotel,Family-friendly Hotels,Business Hotels,Hotels Motels,Boutique Hotels",Accommodation & Food Services,0.9811,Only 45mins from Lambeau field for u packer fans. Having the lake as our view just amazing.,1,"[('love', 0.3849001794597505), ('45mins', 0.19245008972987526), ('algoma', 0.19245008972987526), ('amazing', 0.19245008972987526), ('beach', 0.19245008972987526)]",4.0
14,Alicia's Eagle Rock Lodge,AK,99611,"Hotels,Lodging,Motels,Hotels Motels,Travel and Tourism,Hotel",Accommodation & Food Services,0.3818,The bags had to be on the bed to walk around and on the floor to sleep. You could not walk around the room with a suitcase on the floor.,1,"[('room', 0.48666426339228763), ('14', 0.3244428422615251), ('fine', 0.3244428422615251), ('floor', 0.3244428422615251), ('small', 0.3244428422615251)]",3.0
15,Aloft Arundel Mills,MD,21076,"Hotels,Hotels and motels,Travel agencies and bureaus,Hotel and Motel Management,Hotel & Motel Management,Motels,Hotel",Accommodation & Food Services,0.995,"Especially Olivia who was Extra special because she remembered me by my voice over the phone ...which tells me she is very alert and pays attention to the customer their needs. Clean, with a very modern look, upgraded bathrooms and amenities and super nice staff.",6,"[('desk', 0.5992795513362239), ('rooms', 0.52359187962966), ('olivia', 0.5057300264688388), ('wedding', 0.48784672455096245), ('staff', 0.4800694364422491)]",4.5
16,Aloft Bolingbrook,IL,60440,"Hotels,Hotels and motels,Travel agencies and bureaus,Lodging,Hotel",Accommodation & Food Services,0.1154,"The huge lobby has a giant fireplace, a billiards table, and a full bar, where guests were hanging out and socializing. The only hassle was that they charged for the breakfast on a per-item basis, which was mediocre quality and expensive.",1,"[('attractive', 0.19611613513818404), ('bar', 0.19611613513818404), ('basis', 0.19611613513818404), ('billiards', 0.19611613513818404), ('breakfast', 0.19611613513818404)]",5.0
17,Aloft Buffalo Airport,NY,14225,"Airports,Hotels and motels,Hotel and motel reservations,Hotel,Hotels,Lodging,Travel and Tourism",Accommodation & Food Services,0.9958,The front desk did great when the shuttle got busy and provided us with a small token when the shuttle could not get to us for dinner. I stay at this hotel frequently and always receive friendly service but this time my experience at the bar was exceptional.,5,"[('shower', 0.5125803209894685), ('service', 0.48484267239513595), ('room', 0.4135465755061546), ('bar', 0.40947135501670096), ('great', 0.3670507328442069)]",4.4
18,Aloft Cleveland Downtown,OH,44113,"Hotels,Hotels and motels,Lodging,Real estate,Hotel",Accommodation & Food Services,0.9808,Our room faced the popular Punch Bowl club and it was clearly... More  Came out here to see my friends band play at the flats just across the street from Aloft! We booked through Travelocity and got a more than reasonable rate for airfare and lodging at Aloft.,3,"[('great', 0.5242508406563265), ('water', 0.4149232951994307), ('cleveland', 0.3911920755693181), ('rooms', 0.3749750574920411), ('decor', 0.31829685847758715)]",4.33
19,Aloft Denver Downtown,CO,80202,"Hotels,Lodging,Hotels and motels,Hotel,Hotel Central Business District",Accommodation & Food Services,0.9123,"The room was clean, efficient, and allowed for green savings (5.00 coupon per day when maid service for towels and sheets weren't laundered We redeemed the daily coupons at the XYZ Bar in the lobby!). Loved the room layout which allowed for a long bench between desks for our double bed...",1,"[('allowed', 0.3287979746107146), ('room', 0.3287979746107146), ('00', 0.1643989873053573), ('bar', 0.1643989873053573), ('bed', 0.1643989873053573)]",5.0
20,Aloft Detroit at The David Whitney,MI,48226,"Hotel,Hotels and motels,Hotels,Lodging",Accommodation & Food Services,0.9811,"A wonderful blending of the old and new, this place has a distinctive urban vibe without being overwhelming. The lower floors of this beautiful office building have been re-purposed as the Aloft Detroit.",2,"[('room', 0.3966965190735586), ('terrific', 0.39176213869860743), ('aloft', 0.26803375660791284), ('avenue', 0.26803375660791284), ('building', 0.26803375660791284)]",4.0
21,Aloft Durham Downtown,NC,27701,"Hotels,Hotels and motels,Travel and Tourism,Lodging,Motels,Hotel Bull Durham,Hotel",Accommodation & Food Services,0.9518,"The lobby area had a breakfast room and other things you could purchase throughout the... More  Really enjoyed my stay at the Aloft in downtown Durham. We parked in their parking deck and everything was within walking distance including restaurants, Durham Bulls Athletic Park, and of course DPAC.",2,"[('aloft', 0.38384841165633077), ('dpac', 0.37779601435227095), ('room', 0.37779601435227095), ('clean', 0.25912544977452096), ('durham', 0.25912544977452096)]",4.5
22,Aloft Greenville Downtown,SC,29601,"Hotels,Hotels and motels,Hotel Downtown Greenville,Lodging,Hotel",Accommodation & Food Services,0.6865,"I booked a convention at the last minute and found the ALOFT incredibly affordable, almost 90 dollars less than the Hyatt and the Westin. The room is large with an large shower and bath area, large desk for work .",1,"[('large', 0.48666426339228763), ('aloft', 0.3244428422615251), ('incredibly', 0.3244428422615251), ('90', 0.16222142113076254), ('affordable', 0.16222142113076254)]",5.0
23,Aloft Houston by the Galleria,TX,77056,"Hotel,Hotels and motels,Hotel and motel reservations,Hotels,Hotels Motels,Family-friendly Hotels,Tourist Hotels,Weekend Getaway Hotels,Luxury Hotels,Resorts,Ski Resorts,Boutique Hotels,Lodging,Business Hotels,Hotels & Motels,Hotel Uptown-Galleria",Accommodation & Food Services,0.8288,They're meds are super high...go across the street to the drug store...just walk...don't bother moving the car... It was booked on Hotwire...decent...but couldn't get 2 beds...that that was a small issue...but not major...,1,"[('beds', 0.18257418583505536), ('booked', 0.18257418583505536), ('bother', 0.18257418583505536), ('car', 0.18257418583505536), ('cute', 0.18257418583505536)]",4.0
24,Aloft Jacksonville Tapestry Park,FL,32246,"Hotels,Bar,Hotels and motels,Hotel Bar,Lodging,Cocktail Bar,Hotel",Accommodation & Food Services,0.9989,The decor is fabulous and sheik  Overall great stay. Very nice breakfast with individualized orders.,5,"[('place', 0.5808212466570785), ('stay', 0.5647766712483895), ('nice', 0.5235009172218847), ('dog', 0.4455673139410564), ('booked', 0.4278647465405168)]",4.8
25,Aloft New Orleans Downtown,LA,70112-1701,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,1.0,"Our toiletries were shoved to a corner or moved over so they could place new toiletries, I had a half eaten sandwich placed on a shelf instead of being thrown away, the coffee pot wasn't put back or the coffee replenished (but new coffee cups were given), whatever was left on the bed was thrown back on it, there was a bottle cap left on the floor... small things that added up. The valet out from was super helpful when we were getting ready to leave by reserving us a taxi so we did not have to wait when we wanted one and put our items in the vehicle while we were checking out to make the process smooth and efficient.",39,"[('room', 2.5577874341509457), ('great', 2.4888617929302614), ('hotel', 2.439722617562977), ('aloft', 1.984400406604123), ('staff', 1.9781659880619598)]",4.23
26,Aloft Philadelphia Downtown,PA,19107-6523,"Hotels,Hotels and motels,Bar and grill restaurants,Hotel and Motel Consultants,Lodging,Hotel",Accommodation & Food Services,1.0,"Of course you don't have to wait for his birthday to come back, we can help write a new Rx if needed: Phillies, Bell, Parkway, Casino, Shopping, Kimmel Center, Concerts, Theater, just to name a few :) Would highly recommend Aloft Downtown as the hotel for your wedding guests!Hi Jeanne, Thanks for the FIVE BUBBLES!!",16,"[('hotel', 1.3349760352723574), ('great', 1.280338787284449), ('room', 1.1377779543030733), ('stay', 1.0892165426093836), ('city', 0.9956676912125377)]",5.0
27,Aloft Sarasota,FL,34236,"Hotel,Hotels and motels,Hotels,Lodging",Accommodation & Food Services,0.9882,"I checked in, went up to my room, called down to request a better view, and was immediately given a new room. The location can't be beat, it's within easy walking distance of down town.",2,"[('new', 0.36507239620527376), ('room', 0.36507239620527376), ('beat', 0.35348442400354074), ('lobby', 0.35348442400354074), ('good', 0.2556295478498334)]",5.0
28,Alpine Inn,IL,61108,"Hotels and motels,Hotel and Resort,Hotel",Accommodation & Food Services,0.9731,The lady that checked us in seemed like she didn't know much about the hotel or anything in the area. Overall the place was clean and a bargain for the price.,3,"[('lady', 0.38268420770735917), ('breakfast', 0.35969006881899707), ('area', 0.33986647328580655), ('rooms', 0.33986647328580655), ('stay', 0.33986647328580655)]",4.0
29,Alpine Motel,VA,24210,"Hotels,Hotels and motels,Travel and Tourism,Lodging,Motels,Hotel",Accommodation & Food Services,0.9908,"Towels are small and... More  After reading the reviews about the Alpine Motel we decided to spend a night there on our way back to Canada. They do not provide shampoo or a coffee maker but the rooms are super clean, it is quiet and the rooms are huge.",3,"[('room', 0.4450631754614894), ('rooms', 0.4286339557011102), ('clean', 0.37255367643227666), ('price', 0.37255367643227666), ('motel', 0.34281305898728787)]",3.67
30,Alpine River Suites,GA,30545,"Hotels,Lodging,Hotel",Accommodation & Food Services,0.9657,I wanted to take the bed home with me it was so comfortable. From the staff to other travelers staying there.,1,"[('awesome', 0.4472135954999579), ('ate', 0.22360679774997896), ('bed', 0.22360679774997896), ('breakfast', 0.22360679774997896), ('cabin', 0.22360679774997896)]",5.0
31,Ambassador Hotel,WI,53233,"Hotel,Banquet facilities,Hotels and motels,Hotels Motels,Family-friendly Hotels,Tourist Hotels,Travel,Business Hotels,Budget Hotels,Hotels & Motels",Accommodation & Food Services,0.986,"We enjoyed our stay, the staff was friendly and helpful with info about where we were visiting. Restaurant (Envoy) had the best brunch I've ever had -- they do small plates instead of...",5,"[('hotel', 0.6890576892685094), ('staff', 0.4435800680670084), ('shuttle', 0.4254752243283344), ('security', 0.3899752046276563), ('stay', 0.36991426320084386)]",2.8
32,"Ambassador Hotel Oklahoma City, Autograph Collection",OK,73103,"Hotels,Hotels and motels,Hotel,Hotel and Resort",Accommodation & Food Services,0.9985,"When you walk in you are immediately greeted by the person behind the counter the person who opens the door for you. walking distance to great restaraunts and not far from brick town, okc memorial.  ",6,"[('service', 0.5873295731930038), ('great', 0.5415166577951039), ('room', 0.46951909594036906), ('bar', 0.42202000513095916), ('nice', 0.41327115935750103)]",4.17
33,America's Best Inn Suites,GA,30093,"Hotels and motels,Hotel",Accommodation & Food Services,-0.9622,"This property does not look bad from out front, but room 118 is the worst I have ever seen anywhere. A large hole in the wall beside the bathtub where perhaps a soap dish was supposed to be was... More",1,"[('door', 0.3922322702763681), ('118', 0.19611613513818404), ('bad', 0.19611613513818404), ('bathroom', 0.19611613513818404), ('bathtub', 0.19611613513818404)]",1.0
34,America's Best Value Inn,KS,67401,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,-0.854,I didn't feel like I would be able to sleep there.... Checked in but told them I couldn't stay there.,1,"[('room', 0.5), ('dark', 0.3333333333333333), ('170', 0.16666666666666666), ('able', 0.16666666666666666), ('advisor', 0.16666666666666666)]",1.0
35,America's Best Value Inn,PA,15301,"Hotels,Hotels and motels,Lodging,Motels,Hotel",Accommodation & Food Services,-0.8775,"I knew going into this that i was getting a worker's hotel, but I didn't expect the used condom left in the garbage in my room, or the window that didn't have locks. I hate writing reviews like this as a guy that owns a business, but you really shouldn't stay here...",4,"[('room', 0.6129350013327742), ('place', 0.5265889772064152), ('smoking', 0.4682693985033781), ('right', 0.4575333922658), ('rooms', 0.3462266863321873)]",2.25
36,America's Best Value Inn Suites,TN,38474,"Hotels,Motels,Lodging,Hotel",Accommodation & Food Services,0.8126,The rooms are always clean and comfortable and the owners are friendly and helpful. They need to invest in a snack machine or snack display in the lobby.,1,"[('snack', 0.3713906763541037), ('00', 0.18569533817705186), ('breakfast', 0.18569533817705186), ('clean', 0.18569533817705186), ('comfortable', 0.18569533817705186)]",3.0
37,American Inn,NV,89801,"Hotels,Bed and Breakfast and Inns,Hotel and motel consultants,Hotels and motels,Lodging,Hotels Motels,Motels,Hotel",Accommodation & Food Services,0.6808,Clean and quiet...very reasonable rates....would stay again....fridge and microwave worked well...no coffee pot or cups....basic room however good for a budget stay...if in the area again would stay there....,1,"[('stay', 0.6123724356957946), ('area', 0.20412414523193154), ('basic', 0.20412414523193154), ('budget', 0.20412414523193154), ('clean', 0.20412414523193154)]",4.0
38,Americana Hotel,VA,22202,"Hotel,Hotels and motels",Accommodation & Food Services,0.9976,"Eeverywhere clean, comfortable large rooms, updated to modern day requirements of large FlatScreen TV's and fridges, although no coffee or tea making facilities in the room. The room was much cheaper than anything else available, and there was lots of parking- for free!",6,"[('breakfast', 0.5576620655774074), ('room', 0.48923911205513176), ('americana', 0.46238066405355427), ('hotel', 0.44605497781936965), ('stay', 0.4186300868615397)]",3.67
39,Americas Best Value Inn,CT,6455,"Lodging,Motels,Hotels,Hotel",Accommodation & Food Services,0.9134,A good basic room at a good price and the management was very helpful. We had 5 rooms and all were clean and well maintained.,1,"[('area', 0.4472135954999579), ('good', 0.4472135954999579), ('basic', 0.22360679774997896), ('clean', 0.22360679774997896), ('helpful', 0.22360679774997896)]",5.0
40,Americas Best Value Inn,IN,46637-3313,"Travel and Tourism,Hotels,Lodging,Hotel,Motels",Accommodation & Food Services,0.9963,"The room was clean, the beds very comfortable, and the property well maintained, but it was the friendly, warm-hearted proprietor who made this place special. I would recommend this motel as not only a good value but as a place with an unusually pleasant atmosphere.",3,"[('place', 0.5824135809990612), ('free', 0.3674385537360405), ('minutes', 0.3674385537360405), ('beds', 0.31043777689858354), ('friendly', 0.31043777689858354)]",4.33
41,Americas Best Value Inn,KY,42503,"Hotels,Motels,Hotel",Accommodation & Food Services,-0.9018,No wash rags so we asked the desk clerk and her response was I will have to call someone to... More  We checked into this hotel and I was so surprised how much it has changed.,2,"[('checked', 0.33517574332792616), ('clerk', 0.33517574332792616), ('desk', 0.33517574332792616), ('stayed', 0.33517574332792616), ('2015', 0.23553890616580903)]",1.0
42,Americas Best Value Inn,ME,4210,"Hotels,Lodging,Motels,Hotels and motels,Hotel and motel reservations,Hotels Motels,Hotel",Accommodation & Food Services,0.9883,"The heat wasn't working, so it was pretty cold, but it was obvious they were doing their best to fix it so we toughed it out the first night. They even lent me a wall charger for my phone for the night (and offered to let me keep it when I went to return it the next morning).",4,"[('told', 0.5403271367202214), ('phone', 0.4571564377348228), ('stay', 0.4265542680585739), ('night', 0.38980533114964944), ('room', 0.38980533114964944)]",2.75
43,Americas Best Value Inn,MI,49938,"Hotels,Lodging,Motels,Hotels and motels,Hotel and motel reservations",Accommodation & Food Services,0.9712,"Although the employees were very nice and friendly, and the hotel was clean, I cannot give it more stars because the rooms were tiny and the beds were the most uncomfortable I have ever slept on. Stayed for 2 night with 2 dogs, really clean hotel for being pet friendly the staff was really friendly.",3,"[('friendly', 0.5691178241105099), ('really', 0.4784963309119611), ('clean', 0.3871634275513407), ('hotel', 0.3871634275513407), ('cash', 0.33333333333333337)]",4.0
44,Americas Best Value Inn & Suites Canon City,CO,81212,"Hotels,Hotels and motels,Hotel and motel reservations,Lodging,Motels,Hotel",Accommodation & Food Services,0.9511,"So we got this place cause it was cheapest in the area, and ended up being almost better than the room we had just stayed in for a week. We stayed here one night, because it was the end of our family vacation, and we ended up staying too late to leave/drive home.",2,"[('bed', 0.5773502691896257), ('soft', 0.5773502691896257), ('way', 0.5773502691896257), ('nice', 0.42008402520840293), ('ended', 0.28005601680560194)]",4.0
45,Americas Best Value Inn & Suites-eureka,CA,95501,"Hotels,Hotels and motels,Hotel and motel reservations,Lodging,Motels,Hotel",Accommodation & Food Services,0.9757,I would come again and recommend it to others. The people were very nice and welcoming.,1,"[('clean', 0.4), ('nice', 0.4), ('quiet', 0.4), ('abvi', 0.2), ('come', 0.2)]",5.0
46,Americas Best Value Inn - Charlotte,MI,48813,"Hotels,Lodging,Motels,Hotels and motels,Hotel and motel reservations",Accommodation & Food Services,0.9413,"The bottom line: If this is a stop off on the way from point A to point B and you want to save some money for your vacation you might give it a try. If you are real particular about where you stay, then you might want to try another motel.",3,"[('nice', 0.7071067811865476), ('people', 0.7071067811865476), ('fine', 0.4403620672313486), ('needed', 0.4403620672313486), ('shower', 0.4403620672313486)]",3.67
47,Americas Best Value Inn - Corpus Christi/Port Aransas,TX,78373,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,0.807,"The hotel is exactly what it needs to be for Port Aransas-- conveniently located (10 minutes walk from the beach), affordable (we booked a large room with a mini fridge, king size bed etc for 39 per night during the off season), and the owners are attentive, informative and incredibly friendly. There is also a lovely cafe across the street...",1,"[('10', 0.1796053020267749), ('39', 0.1796053020267749), ('affordable', 0.1796053020267749), ('aransas', 0.1796053020267749), ('attentive', 0.1796053020267749)]",4.0
48,Americas Best Value Inn - Executive Suite Airport,AK,99517,"Hotel,Hotels",Accommodation & Food Services,0.995,"Room was huge, continental breakfast in the morning, good location close to airport, friendly staff - everything great, except the bed bugs. Unfortunately, that's a deal breaker - woke up with about 30 bites on hands, legs neck.",10,"[('room', 1.0959821457237133), ('rooms', 1.0575913071258145), ('hotel', 0.7962353759132615), ('good', 0.5586143542287543), ('given', 0.5560580333814026)]",2.6
49,Americas Best Value Inn - Greeley/Evans,CO,80620,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,0.3384,"Perhaps it was the dust storm created on a windy day by the unpaved lot next door that created a scene from the Grapes of Wrath as the Joads outran a duststorm that literally almost obliterated the hotel. Perhaps it was the bathroom, urine smell that greeted you as you entered the lobby the 1970s carpets,...",1,"[('created', 0.3651483716701107), ('1970s', 0.18257418583505536), ('bathroom', 0.18257418583505536), ('begin', 0.18257418583505536), ('carpets', 0.18257418583505536)]",1.0
50,Americas Best Value Inn - Medical Center / Lubbock,TX,79410,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,-0.8436,"Room was very dirty, pillow cases stained, bathroom nasty, and outdated and we cancelled and decided not to stay at all! the first room we were given ...the key didnt work and so the front desk reassigned us another room.",1,"[('room', 0.6), ('bathroom', 0.2), ('cancelled', 0.2), ('cases', 0.2), ('decided', 0.2)]",1.0
51,Americas Best Value Inn Albert Lea,MN,56007,"Hotels,Motel,Lodging,Motels,Hotel",Accommodation & Food Services,0.5267,IT started with a walk all the way around the Hotel to the back by the bowling alley. Our normal hotels were booked and our only choice was Americas Best Value Inn.,1,"[('kids', 0.3481553119113957), ('pool', 0.3481553119113957), ('running', 0.3481553119113957), ('alley', 0.17407765595569785), ('americas', 0.17407765595569785)]",3.0
52,Americas Best Value Inn Bighorn Lodge,CO,80447,"Hotels,Lodging,Motels,Hotel,Hotels Motels",Accommodation & Food Services,0.8934,Easy access in and out of town before driving through Rocky Mountain park. This was a good last minute place to stay with a convenient location.,1,"[('access', 0.22360679774997896), ('clean', 0.22360679774997896), ('convenient', 0.22360679774997896), ('driving', 0.22360679774997896), ('easy', 0.22360679774997896)]",4.0
53,Americas Best Value Inn Clear Lake,IA,50428,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,0.7804,"Instead of being polite and understanding, the desk person asked why I had not brought this to their attention last night and told me I could not switch rooms. She finally offered to let us switch rooms after looking at the room herself....",2,"[('rooms', 0.44956134174585805), ('hotel', 0.4262804643088613), ('desk', 0.3648954288226039), ('asked', 0.29970756116390534), ('person', 0.29970756116390534)]",2.5
54,Americas Best Value Inn Grand Junction,CO,81506,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,0.908,"Very clean, staff was pleasant and rooms setup with desk, wifi, mini-fridge and microwave. It's a cheap and easy alternative when the Hilton and Marriot are booked.",1,"[('alternative', 0.21320071635561041), ('booked', 0.21320071635561041), ('cheap', 0.21320071635561041), ('clean', 0.21320071635561041), ('desk', 0.21320071635561041)]",4.0
55,Americas Best Value Inn Jonesville,NC,28642,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,0.8649,"This is a very, very basic motel, but it did have microwave and fridge, was clean and our room with a king bed was spacious for a motel and had a little table and two chairs. So I gave this a bad review a couple of years ago but the recent reviews made me want to try it again.",2,"[('motel', 0.40814211980721204), ('basic', 0.31770098733223384), ('clean', 0.31770098733223384), ('advertised', 0.24244659260336257), ('arrived', 0.24244659260336257)]",3.0
56,Americas Best Value Inn Las Vegas,NV,89109,"Hotels,Lodging,Motels,Hotels and motels,Hotel and motel reservations,Hotel",Accommodation & Food Services,-0.8016,"To be short: no wifi (it works only at front desk and pool, lol), no refrigerator, very old TV with bad reception, with non working remote. Very small room, actually too small for 2 beds, very old repainted furniture.",1,"[('old', 0.3779644730092272), ('small', 0.3779644730092272), ('actually', 0.1889822365046136), ('away', 0.1889822365046136), ('bad', 0.1889822365046136)]",1.0
57,Americas Best Value Inn Mackinaw City,MI,49701,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,0.9014,"The gentleman at the front desk phoned after my wife and I were in the room for a few minutes to make certain we had no problems and were happy with the room. It was heart shaped and they way it was set up, we could each sit comfortably next to each other and watch television.",2,"[('room', 0.5696208802378546), ('way', 0.42615959880289433), ('bed', 0.2909456482294136), ('comfortable', 0.2909456482294136), ('quite', 0.2909456482294136)]",4.5
58,Americas Best Value Inn New Philadelphia,OH,44663,"Hotel,Hotels,Lodging,Motels",Accommodation & Food Services,0.7184,The sweeper hadnt been ran in our room when we got there. We had to turn AC down to 63 to get it cool in our room.,1,"[('room', 0.3713906763541037), ('63', 0.18569533817705186), ('ac', 0.18569533817705186), ('awful', 0.18569533817705186), ('clean', 0.18569533817705186)]",3.0
59,Americas Best Value Inn Pryor,OK,74361,"Hotels,Lodging,Motels,Hotels and motels,Hotel and motel reservations,Hotel",Accommodation & Food Services,0.9812,"Very clean.great location and quiet.easy axcess to foid, drink and dance.i would refer to family friends pet friendly in friendly town!!!!!!!!!Hwy 69 fastest route Texas and all major cites. Second night after truck repaired from shop.",2,"[('good', 0.586549080816952), ('night', 0.439911810612714), ('friendly', 0.38846858186112443), ('room', 0.293274540408476), ('clean', 0.24253292320691805)]",3.5
60,Americas Best Value Inn Suburban Motel,IA,50536,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,0.9661,"3 day stay, more like a suite as it had couch, table, desk, mini fridge and microwave. Recommended place for relaxation.",1,"[('access', 0.19611613513818404), ('clean', 0.19611613513818404), ('couch', 0.19611613513818404), ('day', 0.19611613513818404), ('desk', 0.19611613513818404)]",4.0
61,Americas Best Value Inn Suites,IL,62274,"Hotels,Lodging,Motels,Hotel,Travel & Transport,Hotels & Motels",Accommodation & Food Services,0.8122,"The hallways smelled like smoke, however the rooms did not. Our softball team stayed here for a tournament in Duquoin.",1,"[('bedding', 0.3592106040535498), ('average', 0.1796053020267749), ('badly', 0.1796053020267749), ('bagels', 0.1796053020267749), ('breakfast', 0.1796053020267749)]",3.0
